Script addresses
4FC: 089933A8
4FD: 08993ABC
4FE: 08993C74
4FF: 08993E34
500: 08993FF0
501: 089941BC
502: 08994904
503: 08995044
504: 08995414
505: 08995574
506: 0899570C
507: 089957F0
508: 089958CC
509: 089959B4
50A: 08995AD0
50B: 08995BE0
50C: 08995CCC
50D: 08995DC0
50E: 089961BC
50F: 089962B8
510: 08996654
511: 0899682C
512: 08996A84
513: 08996C70
514: 08996DFC
515: 08996F80
516: 089970E4
517: 08997240
518: 089973C0
519: 08997524
51A: 0899769C
51B: 089977F8
51C: 08997978
51D: 08997AF4
51E: 08997C90
51F: 08997D8C
520: 08997E94
521: 08997FC0
522: 089980A8
523: 0899819C
524: 089982A8
525: 08998B48
526: 08998C7C
527: 08998DA0
528: 08998EC4
529: 08998FC4
52A: 0899922C
52B: 08999404
52C: 0899A228
52D: 0899AA10
52E: 0899AF68
52F: 0899B270
530: 0899B334
531: 0899B450
532: 0899B7AC
533: 0899B8F0
534: 0899BA30
535: 0899BD98
536: 0899BF0C
537: 0899C06C
538: 0899C234
539: 0899C35C
53A: 0899C4B8
53B: 0899C61C
53C: 0899C778
53D: 0899CAD4
53E: 0899CC34
53F: 0899CD78
540: 0899CECC
541: 0899D158
542: 0899DAD0
543: 0899DDB0
544: 0899E140
545: 0899E284
546: 0899E3B0
547: 0899E514
548: 0899E65C
549: 0899E7B0
54A: 0899EB00
54B: 0899EC60
54C: 0899EDC0
54D: 0899F064
54E: 0899F330
54F: 0899F838
550: 0899FA08
551: 0899FBAC
552: 0899FD90
553: 0899FF74
554: 089A0134
555: 089A05A8
556: 089A0788
557: 089A0970
558: 089A0B68
559: 089A0B98
55A: 089A0E10
55B: 089A11B4
55C: 089A1584
55D: 089A1944
55E: 089A2BD8
55F: 089A2C00
560: 089A2C28
561: 089A2C50
562: 089A2C78
563: 089A2CA0
564: 089A2CC8
565: 089A2CF0
566: 089A36CC
567: 089A3DF8
568: 089A3E20
569: 089A4740
56A: 089A4AD4
56B: 089A5350
56C: 089A56D8
56D: 089A5BAC
56E: 089A5F54
56F: 089A641C
570: 089A6E80
571: 089A8A10
572: 089A91D8
573: 089A9458
574: 089A97E0
575: 089A98FC
576: 089A99FC
577: 089A9AF8
578: 089A9C00
579: 089A9D04
57A: 089A9E88
57B: 089A9F88
57C: 089AA08C
57D: 089AA204
57E: 089AA464
57F: 089AA6D0
